Epoch,Pixel_Accuracy,IoU_urban_land,IoU_agriculture_land,IoU_rangeland,IoU_forest_land,IoU_water,IoU_barren_land,IoU_unknown,Mean_IoU
1,0.7862067670559959,0.3628859742443565,0.5943870609877091,0.17459406266291347,0.2662155679966541,0.1307656812816458,0.2181993384660012,0.0,0.24957824080561145
2,0.795438239216141,0.3208834451991433,0.6080572199441734,0.1439627295098144,0.3211276997233263,0.12564515621104771,0.23057989024773878,0.0,0.250036591547892
3,0.7923436775278293,0.33961192794869066,0.60928161831397,0.1536359340703347,0.3256618927173466,0.11789512067839766,0.2317061628397925,0.0,0.25397037950979023
4,0.7868404044210661,0.3526198796693465,0.605103296540255,0.11758645215505575,0.3532247123262069,0.10347024101040414,0.23202684070097754,0.0,0.25200448891460653
5,0.7788409591625907,0.3379767853263192,0.5913907122219282,0.1766664202211635,0.3574200781673768,0.09395079415759065,0.21450186263049043,0.0,0.2531295218178384
6,0.7950141123081463,0.36720927149872484,0.6210595721874472,0.14175569120849374,0.3892056302598343,0.10735528672462535,0.21413251457716864,0.0,0.2629597094937563
7,0.7985364245129869,0.3760341453248593,0.6184691351182505,0.15708412634262314,0.3457524213765946,0.09797932627946476,0.1929275466819524,0.0,0.2554638144462492
8,0.7907924436561814,0.3070039837229292,0.6258657831681589,0.1277447836348726,0.3617313982772973,0.09918913927257474,0.20598599365095432,0.0,0.2467887259609696
9,0.7907089359504134,0.33880672866118505,0.6132016767308023,0.1627630099215851,0.3872024043227848,0.10385853727738675,0.21006967461261855,0.0,0.2594145759323375
10,0.7738947335132398,0.31551055112820114,0.6047089406155095,0.128611887034346,0.3837687802205183,0.100210515055059,0.21484817718956267,0.0,0.24966555017759953
11,0.7707565238130377,0.2821728391325677,0.5857873059560159,0.1508875814720789,0.3438032860437404,0.10075716492946221,0.18970520626825296,0.0,0.23615905482887403
12,0.7675819133180131,0.3168171671944341,0.5751312886571923,0.1657754007648766,0.3469915968003083,0.1137418130364463,0.20140347579702925,0.0,0.24569439175004099
13,0.7897101376707708,0.3353024253020806,0.6239755472455698,0.13661957216489126,0.37354812880149907,0.10485803357265809,0.20412654303824418,0.0,0.2540614643035633
14,0.7820705826235451,0.3488024682704397,0.5999095513950526,0.1458536589052806,0.36752598259952063,0.10526855097306488,0.20573987746453348,0.0,0.25330001280112746
15,0.7625462504216562,0.3020627873121032,0.572542751214539,0.13496723750755685,0.3985326957302206,0.08957802055737943,0.20360935026744093,0.0,0.24304183465560575
16,0.7496793106447124,0.3401279349746719,0.5453869000635791,0.1742818571638676,0.3200038779127496,0.09716388027775752,0.19681378616675033,0.0,0.23911117665133944
17,0.7961336426357734,0.3646083826702485,0.6281906887119789,0.1755032236488912,0.37719995263999473,0.12642313224363183,0.21064548552464046,0.0,0.26893869506276935
18,0.7924138437658121,0.327030889415054,0.6346194871850621,0.1360713529183937,0.37002030333695324,0.10568201659540633,0.20718748699131848,0.0,0.25437307663459824
19,0.7907025122807388,0.3434764332576031,0.6048513734641278,0.14921341426773524,0.3797264390165209,0.09968164099093972,0.21690712290125294,0.0,0.2562652034140257
20,0.777245089022179,0.32447821628258755,0.6047047772621577,0.16022007211047873,0.3485562834114463,0.10706470147962426,0.20876251751532152,0.0,0.25054093829451657
